product_id,product_name,category,list_price,unit_cost
171,Facial Cleanser Plus,Beauty & Personal Care,26.6,10.53
172,Facial Cleanser Max,Beauty & Personal Care,68.57,25.82
173,Moisturizing Cream,Beauty & Personal Care,67.18,27.69
174,Hair Dryer Lite,Beauty & Personal Care,76.12,29.65
175,Hair Dryer Max,Beauty & Personal Care,64.85,26.78
176,Sunscreen SPF50 Deluxe,Beauty & Personal Care,43.84,16.81
177,Lip Balm Set 2.0,Beauty & Personal Care,63.64,26.16
178,Sunscreen SPF50 Pro,Beauty & Personal Care,79.57,27.64
179,Camping Tent Lite,Sports & Outdoors,170.72,87.45
180,Bicycle Helmet Lite,Sports & Outdoors,164.53,81.31
181,Yoga Mat Classic,Sports & Outdoors,26.0,12.39
182,Camping Tent Pro,Sports & Outdoors,50.61,24.23
183,Camping Tent Plus,Sports & Outdoors,283.06,141.1
184,Camping Tent,Sports & Outdoors,18.95,9.72
185,Insulated Water Bottle Mini,Sports & Outdoors,257.79,134.3
186,Yoga Mat,Sports & Outdoors,106.33,47.99
187,Yoga Mat Deluxe,Sports & Outdoors,136.48,64.48
188,Yoga Mat Plus,Sports & Outdoors,270.84,124.95
189,Resistance Bands Deluxe,Sports & Outdoors,303.59,156.28
190,Camping Tent Classic,Sports & Outdoors,57.73,31.36
191,Yoga Mat Lite,Sports & Outdoors,100.48,52.3
192,Camping Tent 2.0,Sports & Outdoors,138.8,69.16
193,Sleeping Bag Pro,Sports & Outdoors,156.39,77.52
194,Resistance Bands Max,Sports & Outdoors,54.84,25.72
195,Bicycle Helmet Deluxe,Sports & Outdoors,195.81,102.73
196,Insulated Water Bottle Deluxe,Sports & Outdoors,52.32,23.91
197,Adjustable Dumbbell Set Max,Sports & Outdoors,249.53,133.61
198,Adjustable Dumbbell Set,Sports & Outdoors,115.36,61.0
199,Resistance Bands Classic,Sports & Outdoors,92.82,41.79
200,Bicycle Helmet 2.0,Sports & Outdoors,235.08,125.47
201,Camping Tent Deluxe,Sports & Outdoors,189.78,97.93
202,Hiking Backpack Deluxe,Sports & Outdoors,278.23,137.63
203,Yoga Mat Max,Sports & Outdoors,160.15,77.39
204,Sleeping Bag Deluxe,Sports & Outdoors,246.49,120.22
205,Resistance Bands,Sports & Outdoors,299.18,160.65
206,Adjustable Dumbbell Set Pro,Sports & Outdoors,314.04,148.82
207,Self-Help Book 2.0,Books & Media,41.43,20.72
208,Bestselling Novel Classic,Books & Media,37.46,19.75
209,Cookbook Mini,Books & Media,21.87,11.18
210,Biography 2.0,Books & Media,27.65,15.41
211,Children's Picture Book Deluxe,Books & Media,37.32,19.17
212,Bestselling Novel 2.0,Books & Media,10.92,6.45
213,Puzzle Book Max,Books & Media,30.93,16.13
214,Puzzle Book Classic,Books & Media,41.77,21.33
215,Puzzle Book Mini,Books & Media,25.06,13.1
216,Cookbook Classic,Books & Media,17.45,8.66
217,Biography Classic,Books & Media,37.77,22.44
218,Graphic Novel Pro,Books & Media,33.07,16.94
219,Cookbook Lite,Books & Media,24.34,12.97
220,Self-Help Book,Books & Media,29.74,16.81
221,Bestselling Novel Max,Books & Media,23.7,12.38
222,Puzzle Book,Books & Media,39.28,20.3
223,Bestselling Novel Pro,Books & Media,22.23,12.19
224,Biography Plus,Books & Media,16.78,9.36
225,Graphic Novel Max,Books & Media,29.27,17.68
226,Graphic Novel 2.0,Books & Media,18.92,11.4
227,Cookbook Deluxe,Books & Media,32.35,16.99
228,Children's Picture Book,Books & Media,28.94,16.51
229,Remote Control Car Max,Toys & Games,47.57,23.62
230,1000-Piece Puzzle Deluxe,Toys & Games,66.49,32.45
231,Action Figure,Toys & Games,79.55,41.55
232,1000-Piece Puzzle Plus,Toys & Games,17.43,7.92
233,Remote Control Car 2.0,Toys & Games,10.18,5.26
234,1000-Piece Puzzle Max,Toys & Games,56.84,29.55
235,Building Block Set,Toys & Games,27.26,11.94
236,Action Figure Mini,Toys & Games,79.68,41.38
237,Remote Control Car,Toys & Games,34.29,16.16
238,Action Figure Classic,Toys & Games,20.16,10.54
239,Plush Toy,Toys & Games,34.48,16.53
240,Remote Control Car Mini,Toys & Games,16.46,8.51
241,Building Block Set Classic,Toys & Games,19.8,9.42
242,Building Block Set Pro,Toys & Games,66.33,33.39
243,Action Figure Plus,Toys & Games,90.3,42.64
244,Board Game Pro,Toys & Games,72.58,32.43
245,Board Game,Toys & Games,44.09,19.47
246,Board Game Plus,Toys & Games,50.57,23.83
247,Action Figure Max,Toys & Games,90.78,39.5
248,Plush Toy Pro,Toys & Games,40.24,19.1
249,Remote Control Car Classic,Toys & Games,90.7,46.63
250,Card Game 2.0,Toys & Games,16.64,8.28
251,Card Game,Toys & Games,55.37,29.12
252,Board Game Mini,Toys & Games,39.2,18.43
253,Extra Virgin Olive Oil Mini,Grocery & Gourmet,61.67,33.62
254,Granola Pack Deluxe,Grocery & Gourmet,51.78,33.35
255,Organic Coffee Beans Mini,Grocery & Gourmet,35.81,21.31
256,Herbal Tea Set Pro,Grocery & Gourmet,62.81,34.38
257,Extra Virgin Olive Oil Pro,Grocery & Gourmet,33.22,19.54
258,Dark Chocolate Bar Pack Max,Grocery & Gourmet,45.85,27.46
259,Protein Powder Mini,Grocery & Gourmet,59.49,32.65
260,Herbal Tea Set,Grocery & Gourmet,8.93,5.47
261,Herbal Tea Set Plus,Grocery & Gourmet,8.01,4.59
262,Extra Virgin Olive Oil Lite,Grocery & Gourmet,42.62,25.82
263,Protein Powder Plus,Grocery & Gourmet,23.84,15.72
264,Herbal Tea Set Lite,Grocery & Gourmet,36.36,21.61
265,Herbal Tea Set Classic,Grocery & Gourmet,40.93,22.59
266,Organic Coffee Beans Plus,Grocery & Gourmet,46.81,30.07
267,Extra Virgin Olive Oil 2.0,Grocery & Gourmet,43.71,27.64
268,Herbal Tea Set Max,Grocery & Gourmet,47.97,27.14
269,Protein Powder 2.0,Grocery & Gourmet,31.54,17.9
270,Herbal Tea Set 2.0,Grocery & Gourmet,24.67,14.66
271,Granola Pack Max,Grocery & Gourmet,29.38,16.2
272,Extra Virgin Olive Oil Plus,Grocery & Gourmet,30.03,18.61
273,Assorted Nuts Pack Pro,Grocery & Gourmet,26.83,14.98
274,Extra Virgin Olive Oil,Grocery & Gourmet,60.3,33.05
275,Sofa Lite,Furniture,183.24,103.16
276,Accent Table Lite,Furniture,653.31,342.94
277,Bed Frame Plus,Furniture,642.36,352.28
278,Accent Table Max,Furniture,442.26,232.21
279,TV Stand Mini,Furniture,727.0,368.97
280,Bookshelf Classic,Furniture,431.22,226.89
281,TV Stand Deluxe,Furniture,657.42,360.61
282,Accent Table,Furniture,647.09,323.54
283,Sofa Pro,Furniture,399.69,224.2
284,Bar Stool Set Pro,Furniture,47.0,24.82
285,Bar Stool Set Max,Furniture,232.22,118.45
286,Bar Stool Set 2.0,Furniture,272.52,144.73
287,TV Stand,Furniture,47.03,27.14
288,Sofa Mini,Furniture,199.88,107.3
289,Sofa Classic,Furniture,680.34,374.21
290,Bookshelf Mini,Furniture,798.35,465.98
291,Bed Frame Classic,Furniture,105.59,62.28
292,Bookshelf Max,Furniture,78.5,39.02
293,Office Chair Mini,Furniture,878.26,518.03
294,Accent Table 2.0,Furniture,563.94,314.72
